Title,Price,Odometer,Transmission,Engine
2018 Toyota RAV4 GXL Auto 2WD,"$41,800* ","23,228 km",Automatic,4cyl 2.0L Petrol
2018 Audi SQ5 Auto quattro MY18,"$74,500* ","72,545 km",Automatic,6cyl 3.0L Turbo Petrol
2013 Audi Q5 TDI Auto quattro MY14,"$22,000* ","175,500 km",Automatic,6cyl 3.0L Turbo Diesel
2002 Honda CR-V Sport Auto 4WD MY02,"$5,100* ","173,000 km",Automatic,4cyl 2.4L Petrol
2016 Honda CR-V VTi-L Auto MY17,"$28,850* ","55,923 km",Automatic,4cyl 2.0L Petrol
2021 MG ZS Excite Auto 2WD MY21,"$21,990 ",,Automatic,4cyl 1.5L Petrol
2021 Kia Stonic Sport Auto FWD MY22,"$27,010 ",,Automatic,4cyl 1.4L Petrol
2017 Hyundai Santa Fe Elite Auto 4x4 MY17,"$34,290* ","81,252 km",Automatic,4cyl 2.2L Turbo Diesel
2015 Toyota Landcruiser Prado GXL Auto 4x4,"$55,990* ","84,382 km",Automatic,4cyl 2.8L Turbo Diesel
2015 Ford Everest Trend UA Auto 4WD,"$40,990* ","149,942 km",Automatic,5cyl 3.2L Turbo Diesel
2020 Lexus NX NX300 F Sport Auto 2WD,"$69,880* ","18,765 km",Automatic,4cyl 2.0L Turbo Petrol
2020 Mercedes-Benz GLC-Class GLC63 AMG S Auto 4MATIC+,"$179,900* ","25,463 km",Automatic,8cyl 4.0L Turbo Petrol
2021 Renault Koleos Zen Auto MY21,"$40,835 ",,Automatic,4cyl 2.5L Petrol
2021 Audi Q5 40 TDI Sport Auto quattro ultra MY22,"$95,888 ",168 km,Automatic,4cyl 2.0L Turbo Diesel
2021 SKODA Kamiq 110TSI Monte Carlo Auto FWD MY21,"$39,540 ","2,110 km",Automatic,4cyl 1.5L Turbo Petrol
2015 BMW X1 sDrive20i F48 Auto,"$37,900 ","33,525 km",Automatic,4cyl 2.0L Turbo Petrol
2017 Honda CR-V VTi-LX Auto 4WD MY18,"$36,990* ","45,698 km",Automatic,4cyl 1.5L Turbo Petrol
2019 Toyota Landcruiser Sahara Auto 4x4,"$129,555* ","62,113 km",Automatic,8cyl 4.5L Turbo Diesel
2019 BMW X3 xDrive30i G01 Auto 4x4,"$67,222* ","24,226 km",Automatic,4cyl 2.0L Turbo Petrol
2019 BMW X3 xDrive30i G01 Auto 4x4,"$67,222* ","24,226 km",Automatic,4cyl 2.0L Turbo Petrol
2019 Nissan QASHQAI ST J11 Series 2 Auto,"$27,990* ","43,134 km",Automatic,4cyl 2.0L Petrol
2017 Lexus RX RX350 Luxury Auto 4x4,"$62,880* ","41,700 km",Automatic,6cyl 3.5L Petrol
2013 Mitsubishi ASX Aspire XB Auto 2WD MY13,"$17,888* ","108,987 km",Automatic,4cyl 2.0L Petrol
2017 Mercedes-Benz GLE-Class GLE350 d Auto 4MATIC,"$99,990* ","50,316 km",Automatic,6cyl 3.0L Turbo Diesel
2019 Land Rover Discovery Sport TD4 110kW HSE Auto 4x4 MY19,"$66,990* ","30,952 km",Automatic,4cyl 2.0L Turbo Diesel
2017 Toyota Kluger Grande Auto AWD,"$52,990* ","42,737 km",Automatic,6cyl 3.5L Petrol
2015 Jeep Grand Cherokee Limited Auto 4x4 MY15,"$33,789* ","96,158 km",Automatic,6cyl 3.6L Petrol
2018 Mercedes-Benz GLC-Class GLC43 AMG Auto 4MATIC,"$89,800 ","54,185 km",Automatic,6cyl 3.0L Turbo Petrol
2018 Subaru XV 2.0i-S G5X Auto AWD MY19,"$35,990* ","13,014 km",Automatic,4cyl 2.0L Petrol
2016 Mercedes-Benz GLC-Class GLC250 Auto 4MATIC,"$48,500* ","94,073 km",Automatic,4cyl 2.0L Turbo Petrol
2015 Subaru Outback 2.5i Premium 5GEN Auto AWD MY15,"$26,888* ","114,388 km",Automatic,4cyl 2.5L Petrol
